Name_of_image,Date,Adult_Juvenile_Medium,Quality,P_fl_1,P_fl_2,P_fl_3,A_fl_1,A_fl_2,A_fl_3,Length_1,Length_2,Length_3,Width_1,Width_2,Width_3,Thickness,Ejectisome_row_1,Ejectisome_row_2,Ejectisome_row_3
BEAP0128_RS150_21112023_good_1-1,21112023,M,0,7.046,7.138,6.981,4.315,4.861,4.692,4.274,4.42,4.403,3.353,3.365,3.258,,,,
BEAP0128_RS150_21112023_good_2-1,21112023,A,1,7.369,7.945,7.406,4.154,5.643,,5.182,5.087,5.385,3.762,3.452,3.799,,2.343,2.416,
BEAP0128_RS150_21112023_good_3-1,21112023,A,1,7.592,7.418,,4.905,5.21,4.937,4.167,4.302,4.382,3.451,3.475,3.563,,,,
BEAP0128_RS150_21112023_good_4-1,21112023,M,3,7.444,7.399,7.595,4.945,5.435,5.427,4.321,4.36,4.197,3.564,3.565,3.523,,1.951,2.07,1.904
BEAP0128_RS150_21112023_good_5-1,21112023,A,2,7.57,7.598,7.8,5.654,5.333,5.725,5.447,5.475,5.313,3.737,3.919,3.869,,,,
BEAP0128_RS150_21112023_good_6-1,21112023,A,2,8.404,,,5.431,5.548,,5.324,5.29,5.179,3.882,3.901,3.988,,2.238,2.333,2.306
BEAP0128_RS150_21112023_good_7-1,21112023,J,1,7.555,7.18,7.073,5.12,5.145,5.444,4.079,4.056,4.269,3.348,3.308,3.298,,,,
BEAP0128_RS150_21112023_good_8-1,21112023,J,1,7.118,6.577,,4.546,4.799,,4.158,3.691,,3.128,3.06,,,1.678,1.695,
BEAP0128_RS150_21112023_good_9-1A,21112023,A,3,8.027,7.822,7.584,5.346,,,4.377,5.019,4.96,3.897,3.883,3.609,,2.148,2.126,2.278
BEAP0128_RS150_21112023_good_9-1B,21112023,M,1,7.736,7.601,7.727,5.138,,,4.125,,,3.183,,,,,,
BEAP0128_RS150_21112023_good_10-1,21112023,M,2,7.69,6.912,7.979,5.26,5.158,4.984,4.191,4.223,4.13,3.679,3.589,3.653,,2.031,2.014,2.252
BEAP0128_RS150_21112023_good_11-1,21112023,A,2,7.531,7.974,7.835,5.604,5.21,5.644,4.685,4.615,4.571,3.72,3.653,3.652,,2.187,2.168,2.144
BEAP0128_RS150_21112023_good_12-1,21112023,A,2,7.549,7.565,7.684,5.487,5.169,,4.535,4.527,4.579,3.394,3.43,3.46,,1.545,1.708,1.678
BEAP0128_RS150_21112023_good_13-1,21112023,J,1,7.384,7.37,7.258,4.551,4.729,,3.684,3.749,3.915,3.132,3.149,3.078,,,,
BEAP0128_RS150_21112023_good_14-1,21112023,A,2,7.87,7.914,7.369,5.109,5.525,5.384,4.886,4.972,4.941,3.805,3.681,3.748,,1.968,2.284,2.199
BEAP0128_RS150_21112023_good_15-1,21112023,J,1,7.581,7.083,,5.171,5.359,5.105,3.194,3.847,3.95,3.96,3.22,3.244,,2.021,2.068,1.95
BEAP0128_RS150_21112023_good_16-1,21112023,A,2,7.37,7.553,7.691,5.552,5.129,5.259,4.154,4.286,4.38,3.604,3.506,3.518,,2.279,2.152,2.157
BEAP0128_RS150_21112023_good_17-1,21112023,M,1,7.841,7.457,7.534,5.159,4.687,5.179,4.6,4.41,4.427,3.725,3.658,3.688,,2.075,2.056,2.042
BEAP0128_RS150_21112023_good_18-1A,21112023,A,3,8.359,8.296,8.764,5.7,5.448,5.44,5.53,5.591,5.585,4.177,4.29,4.269,,2.036,2.323,2.377
BEAP0128_RS150_21112023_good_18-1B,21112023,M,3,7.864,7.558,8.361,5.463,5.489,5.037,4.462,4.381,4.485,3.577,3.384,3.483,,2.089,2.129,2.027
BEAP0128_RS150_21112023_good_19-1,21112023,A,2,8.286,8.114,8.004,5.896,5.319,,4.943,4.901,4.907,4.09,4.043,4.087,,2.31,2.141,2.115
BEAP0128_RS150_21112023_good_20-1,21112023,M,2,7.588,7.645,7.397,5.032,4.913,5.031,4.146,4.166,4.221,3.456,3.547,3.53,,2.253,2.032,2.152
BEAP0128_RS150_21112023_good_21-1,21112023,M,3,7.45,7.386,,4.931,4.74,5.05,4.422,4.274,4.206,3.511,3.559,3.659,,2.1,2.152,2.125
BEAP0128_RS150_21112023_good_22-1,21112023,A,1,7.384,8.295,8.196,5.299,5.67,,5.181,5.036,5.215,3.775,4.074,3.742,,2.606,2.453,2.458
BEAP0128_RS150_21112023_good_23-1,21112023,A,3,8.097,8.087,8.066,5.149,5.538,5.417,5.071,5.108,5.263,3.395,3.711,3.731,,2.296,2.215,2.256
BEAP0128_RS150_21112023_good_24-1,21112023,J,1,7.071,7.115,7.885,5.524,5.858,5.837,4.252,4.325,4.235,3.515,3.244,3.322,,1.954,,
BEAP0128_RS150_21112023_good_25-1,21112023,A,3,7.52,7.733,,5.662,5.713,5.963,5.116,5.053,4.93,3.952,3.971,3.876,,2.36,2.234,2.454
BEAP0128_RS150_21112023_good_26-1,21112023,A,1,7.864,7.727,8.073,5.894,,,5.455,5.643,,4.286,4.416,,,2.49,,
BEAP0128_RS150_21112023_good_27-1,21112023,A,2,7.633,7.729,7.369,5.192,5.631,5.389,5.68,5.659,5.854,4.043,4.035,4.099,,2.517,2.636,2.436
BEAP0128_RS150_21112023_good_28-1,21112023,A,3,7.804,7.718,7.74,5.432,5.676,5.728,4.734,4.793,4.778,3.565,3.458,3.575,,2.187,2.282,2.35
BEAP0128_RS150_21112023_good_29-1,21112023,M,2,7.628,7.589,7.688,5.369,5.237,5.439,4.253,4.244,4.258,3.505,3.446,3.289,,2.033,2.093,2.094
BEAP0128_RS150_21112023_good_30-1,21112023,A,2,7.368,7.499,7.654,5.803,5.537,5.487,4.972,5.037,5.009,3.844,3.773,3.791,,2.175,2.269,2.133
BEAP0128_RS150_21112023_good_31-1A,21112023,A,1,7.102,7.215,7.332,5.218,5.551,,4.499,4.459,4.563,3.571,3.54,3.469,,1.939,1.947,
BEAP0128_RS150_21112023_good_31-1B,21112023,A,2,6.696,7.194,6.983,5.423,5.413,5.248,4.597,4.641,4.586,3.595,3.638,3.63,,2.218,2.18,2.233
BEAP0128_RS150_21112023_good_32-1A,21112023,J,1,7.576,7.088,,5.342,5.243,5.196,3.98,4.049,4.172,3.261,3.203,3.68,,1.805,,
BEAP0128_RS150_21112023_good_32-1B,21112023,A,2,7.084,8.422,7.539,5.022,4.982,5.315,5.155,5.017,5.16,3.862,3.912,3.871,,2.303,2.342,2.328
BEAP0128_RS150_21112023_good_33-1A,21112023,A,2,7.702,7.761,7.619,5.603,,,4.991,5.008,4.998,3.58,3.365,3.622,,2.122,2.161,2.213
BEAP0128_RS150_21112023_good_33-1B,21112023,A,2,6.453,6.485,5.901,4.229,,,4.588,4.403,4.45,3.83,3.509,3.704,,,,
BEAP0128_RS150_21112023_good_33-1C,21112023,A,1,6.934,6.791,6.371,,,,4.392,4.373,4.168,3.608,3.602,3.619,,,,
BEAP0128_RS150_21112023_good_34-1,21112023,A,1,8.249,7.803,8.18,5.978,5.65,5.814,5.5,5.539,5.537,4.284,4.225,4.186,,2.379,2.216,2.415
BEAP0128_RS150_21112023_good_35-1,21112023,A,3,8.13,8.354,8.285,5.587,6.052,5.633,5.675,5.651,5.708,4.307,4.374,4.328,,2.649,2.574,2.655
